Tweet,Emotion
dvey you are grim mate,sadness
actualflatticus veggie_leslie mtracey call me pessimist but don think therapy can fix whatever is wrong with anthony weiner,sadness
if you think you re good to go already don worry about it,fear
angry already,anger
bettemidler adele thegarden charitybuzz also apart from skyfall her music is dire and boring,fear
we ashamed of being an ally to you pakistan sacrificed almost civilian by siding you in war on terror judgetedpoe,fear
corningfootball it game day minus relentless,anger
susannahspot could pop round,fear
can we get shot of lingys face at time pretty sure it would be more red then his hair pretendinghesok ruok aflcatsswans,anger
ha anyone noticed that npr story in recent day all paint positive accomplishment for trump and challenge for hillary surprised,sadness
my bf drove out of his way after long day just to spend min holding me to make me feel better how i get so lucky lucky happy,joy
theclobra lol thought maybe couldn decide if there wa levity or not,joy
communism_kills get the subway melt and make sure it only hearty italian bread black olive are must though,joy
ya girl is bitter,anger
they used to laugh at her coz she couldn afford junky now they stare in awe while she is winning,fear
themoosesangel he look down at his brother smile forming on his face what people fearing me,fear
openthedoorradi thanks for playing crock pot going radio blog blue music indiemusic,sadness
cailamarsai you ve had me the whole time watching black_ishabc after you ve lost your glass it wa hilarious mrbabyboogaloo,joy
when you think you ve got it together for day then you randomly burst out cry,anger
luxbet did you even give out any pizza serious fail hungry furious hangry,anger
and girl love your perfume there something bout you breezy,joy
love love love fun relaxationiskey,joy
foxnews sheriffclarke foxnewsinsider this man is an affront to our justice system,anger
lord jesus don want to be in prison want to be free entice my heart with the beauty of your truth amp allow me to rejoice in it amen,joy
after this news m supposed to be so damn happy and rejoicing but m here like,joy
rocks_n_ropes can believe how rude your cashier wa today when wa returning an item your customer service is slacking,fear
be joyful in hope patient in affliction faithful in prayer roman,joy
manutd rooney need to come off absolutely dreadful class goal from carras carras showing why he should be in the team,fear
why won you let me go do threaten all your plan im insignificant,fear
now this is getting out of hand m freaked out by this death and m god mommagrendel,fear
so gutted dropped one of my earring down the sink at school,sadness
ms_heartattack peanut butter take away the sting,anger
never dull moment here,sadness
on the bright side with youtube hero leafy will finally get banned,joy
i doing laundry and watching that show with bunch of stranger happy birthday to me,joy
contentwiththelordsportion satisfy u early with thy mercy that we may rejoice amp be glad all our day p gladness joy,joy
the world need more laughter more love and little more of you m drake,joy
curlygirlmimi guess is cause you small and girly dunno how this work did frighten though she a big un,fear
bolain_branden grimstoyshow grim should find broken matt hardy because he can delete everything lol,sadness
need to sta dating again m bored redheadteen boldandbeautiful lost aday single men dating schkeuditz,sadness
madihayousufzai please dm your concern,fear
try to find the good in the negative the negative can turn out to be good anxietyrelief openminded,joy
i don think luca understands how serious am about fall he ha no idea what in store for him,sadness
when will the week full of monday end disheartened,sadness
at your age the heyday in the blood is tame theartofcharm shakespeareaninsults hamlet elizabethan williamshakespeare,joy
i love that tay amp tiff are just sitting at my house while m at work,anger
aberdeen st johnstone let see who can punt it the furthest,fear
sqlbek my liver is elated that isn u,joy
moamali awosss arsenalman listen dn subscribe to this team coq team xhaka stuff like all our player depth ha me elated,joy
be afraid of the quiet one they are the one who actually think,fear
abra abra abra what re you doing to my ear to my soul goodmusic melancholy,sadness
shwood mpforstein omd you are cracking me up thanks for the follow brian need some levity to balance the cynicism share michael,joy
ghanaians don need to wear black to mourn tho they can just walk naked dodge stone na joke na,sadness
kateykeegan now m really excited for november hope they re not all horrid chavs though,fear
depress,sadness
im cry katherine is the only one who like talking to me during my anxiety attack im gonna faint,fear
richardhbell yes think he held grudge,anger
just watching crimewatch what kind of sick fuck touch year old shit like this make me fume,anger
that feel when you travel mile to pick up form that arrives in the post two day after you leave,anger
people always tell me that they don expect me to have anxiety because m generally cheerful and don act the way they expect me to,joy
way too cool to die young way too young to die sober tunechi,sadness
hoopdawg micktheperm meanwhile white cop keep killing black people but there le outrage about that strange society that,anger
luke nhe will be joy and delight to you and many will rejoice because of his birth,joy
american a whole are for the most part feeling borderline despair at the very least looking at situation out of control,fear
fabraham holy shit what the hell happened to your lip fix that shit mtv teenmom,fear
congress acting indignant over the epipen pricing is quite disingenuous since they craft the law that allow such gouging,anger
i am beyond mad that lost track of brown spider in my brown carpet where did you go will be sneaking up on me,fear
before revenge you feel good after revenge you feel worse hillaryclinton,anger
it wa both lively amp lovely crumblepie buryprofs dittobistro buffnpolish,joy
russellhartness mariner bluejays wrongdoing grrr after the fact know but emailing displeasure now anyway,anger
democracy doesn work mob mentality mass hysteria mongering oligarchy,fear
teenageicn_ you ll be pleased to know my family are blue,sadness
safaridjh but it so aesthetically pleasing omg,joy
people have the right to protest not to loot amp riot amp terrorize charlotte violence amp anarchy is unacceptable cnn,fear
luis ortiz ducked by ustinov which mean fight off and he left goldenboyboxing future not looking to bright for ortiz boxing,joy
bigbosspeltonen nlikewise death cutting despair,sadness
i think it time to change my irate motif now that talklikeapirate day is over but pirate minion is so cute don want to,anger
singaholic good morning love happy first day of fall let make some awesome autumnmemories annabailey,joy
i so playful lol need somebody that ll joke with me all day long cause ill never get tired of it,joy
adhd amp anxiety are irrelevant nanyone will be evicted if significant amount of rent ha not been paid mentalhealth aside cantpay,fear
add donte moncrief to my dismal situation blessed,sadness
bigbosspeltonen nlikewise death cutting despair,fear
felt bit shit getting very high blood sugar then remembered it my first one above this week which is incredible for me happy,joy
i wanna kill you and destroy you want you died and want flint back emo scene fuck die hatered,anger
i ve been rooting for him since the beginning anxiety bb,fear
quote_soup be happy not because everything is good but because you can see the good side of everything optimism,joy
joegoodmanjr solution but the assumption by medium in article and every other venue cause animosity to the conversation,anger
jshayevitz israel is bully worse than hitler demon under human guise it the cause of all middleeast problem,fear
bbs_coffee somebody need tell staff at reading cappuccino is supposed to have thick layer of foam and coffee should be hot awful again,fear
mendiphillsaonb do we think the swallow and swift have gone photo night ago not seen since sad autumn,sadness
snap music kept me from running into traffic,anger
what we fear doing most is usually what we most need to do tim ferriss inspiring inspired motivation success hustle,fear
page script due friday for class who said could do this mfa thing panic gradschoolproblems someonetelltinafeytohireme,fear
appreciate what you have amp enjoy your life nuse your smile to help others use theirs,joy
i really wanna go to fright fest,fear
sickness bug,fear
dinohyogi hakyeon take all the attention happily perching on wonshik shoulder to sulk when jaehwan accidentally caused tiny explosion,sadness
swarbleflop lightskinjesusp they re both pretty awful when you look at them historically,fear
im so angry,anger
watch this amazing live ly broadcast by it finfin musically,joy
tiganvarcolac lt feel this precious pleasure harder he whispered almost breathless and his index finger stroked along his waistband gt,fear
what sad evening clearing out all of harvey cage and belonging now so final goodbye my little man depressing,sadness
my bos like to stand in my office amp smile at me like shark maliciously gleeful and ask me how am a if have secret to tell her,joy
celtic sure know how to send wild shiver down your spine,fear
someonesanidiot seanlynagh due to hearty lawsuit nascar will raise beer price to accommodate for loss,joy
firsttweetever sippin hotchocolate wondering why finally gave in lt haha hellloooootwitter it because facebookisforfamily,anger
tehshockwave turn that grumpy frown upside down nyou did something next to impossible today,anger
he showed u really lively performance with lot of different emotion not just sticking to one and that freaking awesome,joy
dp lol they are madden tuber dont know nothing bout madden cuz id smash on you,anger
thehill no wonder usa is going to shit with such outrage over simple analogy,anger
watch this amazing live ly broadcast by mrgummyking musically,joy
pax enjoyed the gloom clayorangecrush flakemurray,sadness
apkrawczynski any possibly kg is being bought out a player so that he can buy in from glen a minority owner,joy
like loon attic luckily it quickly sunk in that it wa the wrong pronunciation but still couldn stop saying it it just stuck,sadness
my husband lost when he booked an apartment through airbnb that didn exist airbnbhelp didn care nightmare airbnbnightmare,fear
yahoofantasy update may have been the worst mistake of my day,fear
the i shawty lo beef is one of the more underrated one in hip hop history chock full of wit bravado and hilarity,joy
cory_bonini ap didn have productive week or st half against gb and kalil is horrible viking is it strongest asset currently,fear
gagasklaine it old sadly,sadness
gotofficial jrjyp happy birthday jin young princejinyoungday happyjinyoungday got happy birthday,joy
the war is right outside your door usatoday,anger
sweater weather the neighbourhood ngirls girl boy panic at the disco,fear
weirdwednesday okay that jump scared the poop out of me right there bad dog bad total code brown in my favorite pant damnit,fear
wearing all black tomorrow a continue to mourn the life of the most recent victim of police brutality blackout wu,sadness
i fear that if united bottle this my heart would actually collapse from laughter,joy
so going to local news immediately after designatedsurvivor turn out to be smooth transition chaos raging fire medium fear,fear
just wish wa appreciated for all do when is it my turn to be taken care of want break tired lost,sadness
devenmiddleton m totally loving it it just make me sad when people feel super awful cuz they aren abroad like life is still goin,fear
the sun literally burning my skin,anger
fludino event started everyone is getting ready to travel to the lake of rage where everything glow,anger
hmiglino cparks coco_wms bodyfit truthequalsfact politicususa have never been more anxious of election in my life fearful,fear
mhchat if we don understand how to express our emotion to others may lead to sadness loneliness amp neg impact on long term mh mhchat,sadness
follow up follow through be relentless success,anger
ibishotelsuk ibishotels_fr ibishotelbr ibishotel ibishotelbdg ibishotel to give me my key back they aren for my house shocking,fear
doubtism m not on about history or other people m on about you ve bullied no one make three post and you attack,fear
no nipple don offend me lol but it sad to me to see woman purposely flaunting sexualizing their own body in very immodest way,anger
ggreenwald smh remove ideologically bankrupt and opportunistic establishment now they re burning all bridge and social contract,anger
i have rabid grizzly bear m going to scatter in neighborhood all over america nthey re poor refugee n inyourneighborhoodnotdc,anger
peaceispossible when both party accept one another and rejoice together after ondoguber nov jciondokingdom cuttie_dove lekibeat,joy
somong_mgmt we need bust up the elite in dc we need job all we need to clean up the blithe in inner city rebuild housing cont,joy
did you know apple turn brown when enzyme called polyphenol oxidase reacts with oxygen well do dull applefacts,sadness
my friend tell me m pretty trigger tell my m ugly first wa confused but then realised m both pretty ugly tru tumblr,sadness
britishbakeoff val soggy bottom face will haunt me stay strong dog,fear
ppl talking about diet and am feeling terrible hahaha,fear
michelle who did nothing is hating on nicole game hahaha bitter bb,anger
got serious hyper predator heckler situation over here,sadness
eft is the single most effective tool ve learned in year of being therapist dr curtis steele psychiatrist stress,fear
tarasetmayer oliverdarcy aa have the right of passage when it come to the word why should he insult him in his church ignorant,anger
the weather sure match the mood in this state today gloomy,sadness
will whu be old bill free by the time the game with chelsea come around nthat will be lively to say the least afc,joy
cgasparino give it up gas don hate i just don respect ur rudeness bully,fear
wtf nyscheretohelp nysc allows gym atmosphere jumpship nasty atmosphere unprofessional,fear
literally being here make me depress tbh,sadness
hillary clinton looked the other way to the saudi war on woman and their terror financing because they bought her off,fear
this is the scariest american horror story out of all of them m gonna have to watch in the daytime,fear
you know you re pro actively playful you want to press your boob into my face tatenashi m not saying no though,joy
alamrahman today which can impact the signal m afraid our engineer are working to have this resolved by this evening and you ll,fear
look at u smiling in the photograph you can see the secret behind the fake smile ω fact fact of life,joy
dcexaminer democrat and their voter have zero tolerance for honesty they associate honesty with anger and hate,anger
mets jdegrom m depress now,sadness
myaeggs can get better look at her bc m too shy to make eye contact,fear
it take man to suffer ignorance and smile be yourself no matter what they say sting,anger
tulsa police manufacture murder wonder why we carry burner maxlevelz shake,fear
bartholomewd it terrible we re going to the local fish chip place in kirribilli terrible,fear
the outrage ha passed and ha been replaced by mute fatalistic acceptance of the current situation fatalism,anger
gameday v buford today at at home never been so excited revenge,anger
m_t_f_ m not surprised would be fuming,anger
raylewis name change uncle remus lewis foh theydontlikeyoueither unwoke,sadness
the bush were good with the force of resentment when it made them money and gave them power now that it doesn they ve changed tune,anger
fixindk revoltrazor dragon guy don use that type of language save it for raging,anger
jessicaz zrlondon ditto such an amazing atmosphere philippplein cheerleader stunt londonevents,joy
people often grudge others what they cannot enjoy themselves,anger
happy birthday to stephen king man responsible for some of the best horror of the past year and whole bunch of the worst,fear
me myself and n horror movie alone again tonight maybe zombie would eat me and finish my life game already want gameover,fear
paul forever paul should have won paul played such better game bb,anger
np rum rage,anger
sorry wow_air definitely going with icelandair next time this is beyond unreasonable wowairsupport terrible yourappologiesmeannothing,fear
town is lively something happen,joy
all hell is breaking loose in charlotte charlotteprotest anger looting,anger
don be bitter,anger
chelsysayshi adweek touché ll start paying more attention and test this adweekchat,fear
peiyophobilia an advice from anirudhofficial don fear for devil sure shot iam_str voice more energetic xtremly foot tapping one,fear
shame on you skynews showing an elephant being hunted and killed,fear
nurse practitioner you look pretty bad no offense of course nthank you that really added that spark of positivity needed today,anger
this nigga doesn even look for his real family sad,sadness
neyaphemmaster _james_kellar_ ravenmetamorph magnetobrohood jedi_paige thomas nervousness at being the group focus is evident gt,fear
i can literally eat creamy pesto pasta topped with grilled chicken sun dried tomato asparagus and pine nut every single day of my life,sadness
starblazer v atlanta this yr v rockies and dbacks this yr that a combined v atrocious team in nl awful,fear
bloody hell pam calm yourself down but could have sworn something black amp hairy just ran across the carpet perilsoflivingalone,fear
sometimes get mad over something so minuscule try to ruin somebody life not like lose your job like get you into federal prison,anger
saraluvvxxx whaaaat oh hell no wa jealous because you got paid to fuck but this is whole new level anger love conflicted,anger
rocklandcounty get to ravis in suffern ny great food new chef terrific atmosphere say twitter to server and get free appetizer,fear
i nothing but hateful and bitter fag,anger
sometimes watch shitty tv to reinforce never giving up cuz if something is that fucking awful on tv still stand chance,joy
halloween party coming soon turnt ruint lit firesauce hotsauce mildsauce getsauced champagnedreams scary kitten,fear
yo this overtime in hockey got me sweaty damn this ish exhilarating,joy
when your body say fuck you bitch you ain sleeping sleep cantsleep drained restless,fear
zavvi zavvihelp only offering moth warranty pspro shocking truth ripoff,fear
rockin to bob dylan singin bob dylan th dream on lpco klassic rock classicrock klassicrock rocknroll blue onlineradio,sadness
ostinong yuuuhh plus clin ep and prevmed ugghhh hahaha bitter,anger
i got short fuse when im sober,sadness
dark dense and exhilarating come the finale hellorhighwater is gripping watch,joy
bravehermione_ and give it to hear please can tell you anything if you want to listen maybe you re dont afraid anymore of me,fear
another on the board we just cannot match up on paper with these team at the moment and it showing on the field onto denver,anger
canadatrumpnow donlemon he ha bad temperament tantrum hissyfits,anger
season of penny dreadful is on netflix well my afternoon is filled,fear
there always that one song which make you turn of the radio a you rather sit in silence awful,fear
marcus roho is dreadful,sadness
someone explain female human being to me they re depressing me _,sadness
some of the casuals tweet that vic ha faved are making me gag bitter,anger
been waiting all week for this game cheer friday,joy
harry_styles you re the smile to my face and the beat to my heart thanks for being kind a much a you can be mind following me,joy
markdice agreed so tired of this nonsense soros must be elated,joy
i love when pinksaltwarrior angry tweet bc it make me laugh but also hate it bc it make me miss her more,anger
every time new anthony weiner revelation break bill clinton say prayer of thanks that texting dming didn exist in his heyday,joy
i just deleted my save file trying to load it up now have to start all over again am going to freaking kill someone pray for me,fear
itdominiccoyle irishtimesbiz between barroso going to goldman and this the eu_commission is getting very serious self inflicted problem,sadness
cailamarsai you ve had me the whole time watching black_ishabc after you ve lost your glass it wa hilarious mrbabyboogaloo,joy
is it bad that kurt is literally me glee,joy
shopgreenwich ldf what shall we do this weekend spraypainting in greenwichmarket with snub core lilylou fret amp benoakley,anger
romero is fucking dreadful like seriously my month old is better than him,fear
are you worrying worried npeter nthrow all your worry on him because he care for you faith leadership mindfulness success,fear
regalisazura ngrasp the cobalt woman own which they did fairly easily fair cheek would ignite into fiery hue warm wa the only,anger
be happy be bright be you identity timelesstips friendship family forest water family truelove god roadsofar you lifetrip,joy
georgia tech secondary is a soft a marshmallow,fear
whats with these box when search google on chrome distracting,fear
the sunderland time line is quite funny with all the doom amp gloom in facing u and the long trip to u midweek whatgoesaroundcomesaround,sadness
bridgetjonesbaby is the best thing ve seen in age so funny ve missed bridget love teammark,joy
ever put your fist through your laptop screen if so it time for new one lmao rage anger hp,anger
ugh why am not asleep yet fml think low key m afraid might miss something sleeplessnight sleepy restless,fear
but he just can he feel tired but also restless so here he now scrolling his own music player playing some music through his,fear
not by wrath doe one kill but by laughter friedrich nietzsche friedrichnietzsche,joy
i wanna passion and fear,fear
that heart pounding goosebumping nightmare experience woke up in the morning with that scary bad dream of mine,fear
eliroth ya know love ya man but thegreeninferno really fucked with my head giggle do it again epic horror ineedtherapy,fear
i also upset at my incorrect use of comma grammar struggle hesitation backtoschool,fear
this night is sparkling don you let it go m wonder struck blushing on the way home,joy
quoteoftheday r if you don do wild thing while you re young you ll have nothing to smile about when you re old r dailyquote quote,joy
ardit_haliti m so gutted loved her cheery disposition,joy
the best revenge is massive success frank sinatra,anger
politico realdonaldtrump another angry white man,anger
jboughton he might donate the money but it won stop shit pessimist,sadness
goodmorning fam do you know that your critical condition pave way for your miracle so dont worry be happy,fear
northampton are awful,fear
if child live with ridicule they learn to feel,fear
jrdingy ikr people still got grudge against him for no reason like wtf,anger
datguydark wouldn fret there too many opportunity in life to worry about one not working out,anger
you are so cool feel slightly intimidated sometimes but you are very nice person and like the thing you do,fear
the texan should never play prime time game again this is tnf,fear
yellowsuburbia really after so long that shocking tbh,fear
go away please m begging depression anxiety worry fear sadness ndreams of joy and my baby to be found sits on andisbench,fear
jimadair guitar shop owner everywhere rejoice,joy
tfw you re en route to your future hucjir m coming for ya openhouse futurecantor exhilarating nycletsgo,joy
cassidyyy_ literally nicole already had her chance and she played shitty both season bitter,anger
heading home to cut grass in the heat all wanna do is go out to eat somewhere air conditioned pout adultingistheworst,anger
people stealing thing from my work out quite the damper on my day so now am going to wear pajama all day,sadness
aphoticsanguine but be little playful nhe hesitantly pull away just enough so he could get word out lip brushing against,joy
nessamatthews he perfect but not even in that way where you sort of resent him or suspect that he lead double life just perfect,anger
pro lifer are condemning menforchoice but haven seen any of you criticize the dismal american foster care adoption system,sadness
katieburnett ha fresher blue would love to re do all again ha nice tshirt vote for pedro,sadness
nfyfc wilkster_ hmm don know many yf who are short on confidence wish d been one,fear
did laugh today laugh hard hope so we need laughter now smile love,joy
samkingftw ew omg that is so grim,sadness
jbiggy tonecapone ya and the wa what wa most confident about our offense is a good a it been in year our suck,anger
it now september and we re still battling situation that wa said to be handled march of this year att this is unacceptable,sadness
me see incense burner is this for drug,anger
miss my lil caramel delight,joy
this room is rather dreary but we endure what we must,sadness
chris ate all my mac cheese so imma eat all his taffy revenge,anger
watch this amazing live ly broadcast by maisiev musically,joy
lorialan seriously digging those eyebrow animated,joy
everyone hate twice and kinda did too but they got bop m bumping rn to cheer up,joy
socalvalerie this one wa apple attempt to make muslim happy,joy
broggersm calum he had been retired minute ago by most blue on here,sadness
erickogi citizentvkenya officialjmbugua but at what price the near miss are too many am afraid it may translate into something else,fear
changing my hair again,fear
one ep of despair arc made me happy but and then m going back to future arc and m upset again,fear
do not despise the lord discipline do not resent his rebuke because the lord discipline those he love proverb,anger
talkrobyn oh dear have to watch this the woman with the pout did well,anger
my irritation level is at an all time high today,anger
tweetinderkaul rupasubramanya chandanwriter thequint shivaroor future convict rush in where trp hog fear to tread homilyhour,fear
feel the wrath of my air dropped pamphlet,anger
street of rage wa hard to find for while and then itunes stepped in and the guy doing the vinyl nmade it so simple,anger
starklydark know you trusted me his word were soft a he ignored the anger and focused on the hurt beneath know screwed up,anger
anytime perezed get near mic someone need to smack him a bat bbtn marblesinmouth,fear
i don know what make pakistan fear more their terrorist or their terrorstatepak,fear
thezantarin then maybe we should keep our white mouth shut and let the people being targeted speak and mourn,sadness
meaindia virtually every statement by other country at un ha referred to terror a main threat to peace pak still in denial,fear
hennessey dreadful mutch is he even on the pitch fryer out of his depth unfortunately cpfc,sadness
dear indian it is hard to swallow this but for once try to swallow this bitter pill that is pakistan is number one in test cricket,anger
warmneutrals passenger in car next to cheerfully asks for cigarette and then direction,joy
hollywooddivas tmz_sports idiot like larry sander scare u all how can moron these day rush judge police o all fact yet fu thug,fear
i might not pay for my own health insurance but do like sparkling water and brussels sprout now so think m an adult,joy
i wonder what would happen if were father weary,sadness
just got back from seeing garydelaney in burslem amazing face still hurt from laughing so much hilarious,joy
just had to reverse half way up the wood to collect the dog i ve never even reverse parked in my life,fear
katlute which one the one where threaten violence or the phedophiliac support or the constitution violation he proposes,fear
i meet new people and had to grow up with the reality that people can be desgusting and fake and so lost my cheerfulness and started to,joy
faultlessfacade lt she really said in response to what she perceived a forced jovial tone with that she slid out of the jeep and onto gt,joy
rover what highlight would imagine you will only have second of highlight for the whole season so far venkysout,fear
a yr old man threw saucepan of boiling water at garda amp then hit the garda with the shaft of brush letterkenny district court,anger
i ll happily be rude to people who personally insult me unprovoked they deserve it just a good people deserve respect,anger
when you wake up scroll through social medium and another father wa taken from his child everyday keithlamontscott,fear
swagalini ive been through the denial and anger am in pure acceptance,anger
happy birthday iridhidogra keep smiling always wishing you wonderful year ahead mam,joy
completely blown away by evanoblezada alistairbrammer jonjonbriones and the cast of misssaigonuk tonight fathomevents speechless,fear
gop she ahead in the poll amp after trump dismal performance at upcoming debate it will be an easy win for hillary,sadness
for those of you who have footage of but didn make it into this mix don get discouraged ran out of room on the beat this week,sadness
johndes ball watching amp rojo header wa equally dreadful,sadness
wanna go home and focus up on this game don wanna rage at all,anger
today wa horrible and it wa only half day,fear
if man lose may actually have nervous breakdown,fear
why is it that we rejoice at birth and grieve at funeral it is because we are not the person involved mark twain,sadness
_her mind is dark room developing madness,sadness
ever put your fist through your laptop screen if so it time for new one lmao hp,anger
royenglish roy a fiery,anger
someone kik me montanashay_ kikme snap,anger
kik to trade have fun or conversation kik youraffair kik kikme messageme textme pic trade tradepics dm bored,anger
raylewis name change uncle remus lewis foh theydontlikeyoueither lost unwoke,sadness
the_east_end and the air raid alarm wa actually false there wa no attack inbound at the time,fear
asian tiger mosquito are so relentless more aggressive than the kind dealt a kid,anger
what do you do you are not worthy enough to know what serious,sadness
there go the butterfly in my stomach anxietyproblems,fear
jwonder macadamionnut well of course progress for the sake of progress must be discouraged the problem is the substance of the rhetoric,sadness
british humour should offend and challenge mainstream view hat off to clarkeson the ultra left should go and kneel before allah,anger
seanunfiltered texan are scared of this bunch,fear
you head north and arrive at breezy cave it smell sweet you glance at your watch you re running minute late,joy
ntfc mourinho is worried bringing ibra and rushford on,fear
will ever get the nerve to quit the restaurant find out tonite on glee,joy
bitchesthecat look at those teef,anger
ci don think monalisa ha respect for anyone but herself think she ll ruffle few feather thejail,anger
california sissified page ruling class separation in passage to dispirit attestative alphanumeric code wyrdljpyu,sadness
honestly don give af who win out of u and pine m just worried about getting drunk saturday night,sadness
because kitchen sink to you is not kitchen sink to me okay friend,sadness
laureeve am sitting here wrapped in fluffy blanket with incense burning listening to bon iver and drinking mulled wine m there,anger
after becoming boiling hot after slowly melting my heart is frozen,anger
final vestige of my childhood were just dashed on the shoal of hearing house cover of tracy chapman fast car at the dayjob,sadness
my name is john locke and you can tell me what can and can do lost アニメ,sadness
i get embarrassed at the slightest thing and then ll fret about it all day hate it,sadness
god hears your voice optimism at the moment that you think that everything ha failed you,joy
im if you want to see my dick snap kik me at hiya kik kikme snapchat snap snapme horny porn naked young,anger
icapturpix drudge_report agree this current ultra left democratic party lost lot of member including myself switched to repub,sadness
katzeanilothei this amount of greedy mooching make me snarl,anger
you come running back to me saying how much you miss me then cower away when we acc try friendship,fear
vivienlloyd thank you so much just home stunned but so happy don think it ha sunk in yet wow,sadness
the_boxing_hub klitschko klitschko over fury any day boxing,anger
zorefx you guy will see what did in the next video but it fucking horrid,fear
realjameswoods kennycoble saddest part of this whole mess is that all of this anger is misdirected they should march the whitehouse,anger
ask yourself every day nam ruled by fear and hatred nor am ruled by love and the sacred,fear
hoytschile fury road,anger
mgcsartwork nearly started cry and having full on panic attack after tatinof bc of the crowd so feel him,fear
ha anyone noticed that npr story in recent day all paint positive accomplishment for trump and challenge for hillary surprised sad,sadness
i so over having anxiety,fear
people irritate my mf soul,anger
delta stuck on runway after being diverted to fargo continuously told just more min for the past hour no food water offered awful,fear
why are people that don have iphones so bitter about iphones can someone explain,anger
i ll get my revenge soon,anger
arcadianluthier taking out his feeling on kei unfairly his lip form frown a he try to walk away,sadness
them cold dark night are slowly creeping in,sadness
your glee filled normy dry humping of the most recent high profile celebrity break up is pathetic amp all that is wrong with the world today,joy
joeshennan meanwhile joshuamurraybm and are getting am train hope you really really enjoy that hotel shennan fuming,anger
what fucking muppet jrwild stalker,anger
harowe this sad truth,sadness
quote_soup be happy not because everything is good but because you can see the good side of everything,joy
the animal the animal ntrap trap trap till the cage is full nthe cage is full stay awake nin the dark count mistake,sadness
the thought of you get me through my day the thought of your smile never fails at making me smile,joy
diana_buds well did she make you laugh with her panic mania or not,fear
malkarii_ korgoth of barbaria for brutality king julian for hilarity and ariel because hot,joy
gschwartz_ it wasn a joke bully,fear
espn just assumed wanted their free magazine,anger
love the new song can stop thinking about you by,anger
he who is slow to anger is better than the mighty and he who rule his spirit than he who take city np bibleverse pride anger,anger
kjwinston the word but think all afr am are entitled to it we shouldn take away from them the insult they have claimed back,anger
csnhayes understandable hard when he ha zero offense behind him and only few win since the all star break,anger
amateur author twitter might be the most depressing thing ve ever seen,sadness
i can wait for you to listen to my new single mystery and my new album newmusic newsingle newalbum popmusic dark,sadness
lakerstakeover it ain that serious houvsne igotbetterthingstodotonightthandie,fear
just heard what happen at grandad hometown last night such terrible news hope everyone okay,fear
the little sniffle at the end of the song get me every time,joy
day and am elated because m taking pto tomorrow so m doneeeee but,joy
katethecursed shannonrdk lol this day is too gloomy for being people should ve canceled and stayed in bed,sadness
bt_uk broadband is shocking regretting signing up now shouldofgonewithvirgin,anger
don give someone power by letting their word offend you,anger
you sting like bee but you re still my honey,anger
nativeapprops sbshear huffingtonpost shew that wa,fear
life is hard it harder if ur stupid life love sadness sadderness moreofsad howdoestears whatislife,sadness
how do you help someone with depression who doesn believe they have it and doesn trust therapist,sadness
aaronrodgers you will tell people not to panic but let see when wa the last year the best qb in the nfl got his team in the sb,fear
ok it really just sunk in that m seeing the in few hour wow,sadness
unmatched party specialist co trevneverend serious job title,sadness
looking nice forward to playing at paper dress vintage in hackney this evening get there early a ll be on at pm paperdressed blue,sadness
good morning n leadership healthcareit socialmedia connector ceo writer ai eq security bigdata growthhacking tech,fear
nigga never changed even a kid and year old in his interview seems jovial and happy after death of his sister he did it,joy
ffs when thing come back to haunt you cringe bad cringe what terrible gun that is,fear
honestly don know why m so unhappy most of the time just want it all to stop unhappy depression itnevergoes,sadness
xboxmad robotbrush ballmer will be furious another delivery lost,anger
when you ve still got whole season of wentworth to watch and stupid cunt in work ruin it for u __kirstyga oldcunt,anger
skyuk what joke cut our internet off early by mistake and then don reinstate it when we no longer need an engineer fuming,anger
i can take serious unless use emojis,sadness
adp ezlabor web portal ha to be the slowest web app have ever had the displeasure of using,anger
im having real life conundrum cuz cant find good spot for my mini hoop and it really starting to depress me,sadness
hayles_ the three s depress me,sadness
thanks for ripping me off again luthansa not enough for one way flight to man from frk then for bag then free at gate,fear
gotta wonder why caller max listens to the show in the first place if you so incense him msignorile,anger
breadfman sunapology and it kelvin mackenzie tomorrow shudder dontbuythesun,fear
so probably hunger and depression and dissociating equal weird time anything else,sadness
watch this amazing live ly broadcast by brooke_bridges lively musically,joy
will be lively evening at ot that one,joy
naya_eclissu me nand that when she suddenly became quiet a her lip started to tremble n naya n don want to,fear
i wish the next madden ha story mode too just like fifa madden,anger
this is joke somersetccc fuming,anger
i love the word fret so much and im in heaven,sadness
savemoney and savelifes your openbar your weddingreception close it hour early forcing your guest to sober up before driving,sadness
and for inconsolable oxford academic brussels should just ignore the brexit vote and tell the uk it can leave the eu ever wah,sadness
chenaidavid easy breezy beautiful rasta mon,joy
i don even feel anger anymore can explain it tulsa charlotte trayvon sandrabland philando ferguson batonrouge michaelbrown,anger
just died from laughter after seeing that,joy
finally uploaded the file needed to the university server drop box it took like half an hour and lot of cursing and anger on my part,anger
right may be an sufc fan and the football maybe shit but marcos rojo for mufc ha had shocking start he just dreadful,fear
lmryle tomcolicchio realdonaldtrump hillaryclinton ajjaffe understand your concern but look at her foundation contribution,fear
any entrenepuers start ups sme out there looking for proactive accountancy tax and business advice we can help get in touch,fear
can it be pm so can sulk in my tub while listening to lana,sadness
what we fear doing most is usually what we most need to do tim ferriss inspiring inspired motivation fear success hustle,fear
melanie_pierce hunterhayes awe ain he sweetheart he adorable,fear
